CID,CanonicalSMILES,XLogP,ExactMass,TPSA,HBondDonorCount,HBondAcceptorCount
68858057,CC(=O)C1=CC(=CC=C1)OC2CCC2,2.8,190.099379685,26.3,0,2
10870456,CC1(C(C(C(CN1)O)O)O)C(=O)O,-4.2,191.07937252,110.0,5,6
125395146,C=CCN1CCC23C4C(=O)C=CC2(C1C(C5=C3C(=C(C=C5)O)O4)O)O,0.3,341.12632271,90.2,3,6
75525203,CC1C(CCO1)NC2CCCCC2O,0.9,199.157228913,41.5,2,3
4090768,COC1CCCC2C1C(=O)CCCC2,2.4,196.146329876,26.3,0,2
12180946,CC(=O)CCCC1(CCCCC1=O)C,1.7,196.146329876,34.1,0,2
29378203,CCC1=CC=C(C=C1)C2CC3=C(C(NC4=CC=CC=C4N3)C5=CC=CC6=CC=CC=C65)C(=O)C2,6.9,444.220163521,41.1,2,3
96700378,CCC(CC(=O)O)C1=CC=C(C=C1)C2=CC(=C(C=C2)C)C,4.9,282.16197994,37.3,1,2
93754008,COC1=CC(=C(C=C1)OC)C2=CC3=C(C=C(C=C3)OCC(=O)C4=CC=CC=C4)OC2=O,4.9,416.12598835,71.1,0,6
73474200,CC(C)(C)C1=CC=C(C=C1)N2C(=O)NNN2,2.3,220.13241115,56.4,3,3
92295370,CCOC1C=CC(=CC#CC2=CC=CC=C2)O1,3.4,226.099379685,18.5,0,2
82288977,CC1=C(C=C(C=C1)C(C)(C)C)C(=O)C2(CC2)C,4.5,230.167065321,17.1,0,1
89174248,C1=C(C=C(C=C1N=O)O)N,0.3,138.042927438,75.7,2,4
74929179,CC1CC(OC1C(C)CC(=O)O)CC(CC2C(CCC3C(O2)COC(O3)C4=CC=CC=C4)O)O,2.5,478.25666817,115.0,3,8
101334659,C#CCNCCCCCCNCC#C,1.0,192.162648646,24.1,2,2
5132078,C=C(C(=O)O)C(=O)O,1.2,116.0109586,74.6,2,4
42329409,C1=COC(=C1)CC(C[NH3+])C(=O)[O-],-1.8,169.07389321,80.9,1,3
